"-111.94474	33.36353"
"-111.92612	33.41576"
"-111.9094	33.42168"
"-111.97816	33.39333"
"-111.9629	33.3276"
"-111.96177	33.37808"
"-111.92889	33.37861"
"-111.9118	33.34925"
"-111.90926	33.394"
"-111.240158	36.129542"
"-110.8398	32.23533"
"-111.000137	32.134052"
"-111.09164	32.35759"
"-111.0704	32.17166"
"-111.0284	32.13403"
"-110.95677	32.23165"
"-110.95478	32.18057"
"-110.9464	32.23625"
"-110.94363	32.26552"
"-110.89265	32.26751"
"-110.87667	32.23638"
"-110.86736	32.22132"
"-110.91745	32.157185"
"-110.874908	32.19334"
"-110.925903	32.134335"
"-111.0476	32.33775"
"-111.04738	32.38086"
"-111.01632	32.25085"
"-110.97845	32.28801"
"-110.97437	32.35192"
"-110.9594	32.2504"
"-110.89227	32.30924"
"-110.86188	32.22129"
"-110.8509	32.2477"
"-110.922012	32.206825"
"-110.990982	32.163052"
"-110.910583	32.235996"
"-110.976791	32.134205"
"-110.838707	32.206276"
"-110.790092	32.191555"
"-110.798752	32.118961"
"-110.8043	32.22076"
"-110.79859	32.25806"
"-110.7728	32.22013"
"-112.126482	35.972114"
"-112.72517	33.97184"
"-109.83919	32.26432"
"-112.192699	35.259035"
"-109.05862	35.66321"
"-110.69772	35.03757"
"-114.598938	32.674992"
"-114.650169	32.681572"
"-114.60952	32.6984"
"-102.723099	40.12429"
"-114.6247	32.68103"
"-114.650597	32.698227"
"-118.1971	34.49299"
"-118.76018	34.14679"
"-122.25385	37.75583"
"-122.27618	37.77154"
"-118.13937	34.07743"
"-118.11768	34.09967"
"-116.706509	32.8409"
"-118.09812	34.16861"
"-122.255439	38.18492"
"-117.941454	33.836954"
"-117.949129	33.80295"
"-117.91981	33.85394"
"-117.91509	33.81082"
"-117.889035	33.803015"
"-118.00261	33.83176"
"-117.968323	33.817813"
"-117.941443	33.841979"
"-117.908832	33.818231"
"-117.88909	33.84932"
"-122.293786	40.455695"
"-121.39205	38.71235"
"-121.36459	38.71229"
"-121.76432	37.96213"
"-121.78578	37.9888"
"-121.83453	38.00401"
"-121.78315	37.96681"
"-117.24454	34.4712"
"-117.222589	34.527152"
"-118.05404	34.13536"
"-118.02684	34.15117"
"-124.083452	40.902927"
"-121.38454	38.59566"
"-118.437863	34.233209"
"-120.59721	35.1267"
"-120.586357	35.120622"
"-118.08247	33.87181"
"-118.832953	35.2093"
"-122.11124	37.69328"
"-120.665588	35.484146"
"-120.59659	37.360649"
"-121.09542	38.94212"
"-121.05637	38.92226"
"-117.990474	34.03589"
"-117.88631	34.12854"
"-119.02826	35.31789"
"-118.96158	35.39079"
"-119.09499	35.38367"
"-119.14554	35.38347"
"-119.09245	35.40177"
"-119.092394	35.307884"
"-119.09042	35.31803"
"-119.078819	35.441223"
"-119.06176	35.35444"
"-119.0531	35.33979"
"-119.04318	35.36651"
"-119.03948	35.29596"
"-119.0333	35.31752"
"-119.027382	35.296322"
"-119.02332	35.38023"
"-119.018	35.33862"
"-119.00262	35.37541"
